n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1,3.93683e+07,746424,3.86014e+07,3.89914e+07,3.91491e+07,3.9366e+07,4.2092e+07
2,7.87962e+07,620274,7.79107e+07,7.8433e+07,7.86696e+07,7.89063e+07,8.14966e+07
3,1.14178e+08,1.81916e+06,1.12677e+08,1.13504e+08,1.13789e+08,1.14115e+08,1.24907e+08
4,1.49963e+08,746598,1.48781e+08,1.4945e+08,1.49859e+08,1.50291e+08,1.52337e+08
5,1.90522e+08,1.60162e+06,1.88979e+08,1.89695e+08,1.9015e+08,1.90765e+08,2.00075e+08
6,2.29283e+08,1.07025e+06,2.27846e+08,2.28646e+08,2.29035e+08,2.29848e+08,2.35204e+08
7,2.65147e+08,1.71102e+06,2.63477e+08,2.64192e+08,2.64651e+08,2.65813e+08,2.75386e+08
8,3.03898e+08,954224,3.02254e+08,3.03227e+08,3.03753e+08,3.04184e+08,3.06347e+08
9,3.40861e+08,2.08275e+06,3.38552e+08,3.3971e+08,3.40451e+08,3.41292e+08,3.52037e+08
10,3.7826e+08,1.87183e+06,3.75971e+08,3.77243e+08,3.78013e+08,3.78817e+08,3.89242e+08
